,Entry Index,Avg Entry Price,PnL,Direction,Status,tick_volume,atr
58,2022-12-06 01:00:00,1.0493999999999999,0,Short,Closed,180,0.0002577960762362777
59,2022-12-06 04:50:00,1.05007,1,Long,Closed,394,0.00046151630354987467
60,2022-12-06 10:30:00,1.04892,0,Short,Closed,645,0.0007164556771600601
61,2022-12-08 00:15:00,1.0503,1,Long,Closed,69,0.0003189343865838153
62,2022-12-08 01:25:00,1.05126,1,Short,Closed,157,0.0002809873411060881
63,2022-12-08 02:45:00,1.05076,0,Long,Closed,82,0.0002501370802749892
64,2022-12-08 08:30:00,1.05093,1,Short,Closed,191,0.0003323650857496219
65,2022-12-09 00:15:00,1.05523,1,Long,Closed,6,0.00023937154486746004
66,2022-12-09 00:50:00,1.0556,1,Short,Closed,811,0.00019469041454531596
67,2022-12-09 03:25:00,1.05818,1,Short,Closed,309,0.0004211047301873327
68,2022-12-09 04:40:00,1.05698,1,Long,Closed,287,0.0004111664544094133
69,2022-12-09 05:25:00,1.05814,1,Short,Closed,208,0.0004031383878828258
70,2022-12-09 07:15:00,1.05799,1,Long,Closed,243,0.00032950426088744906
71,2022-12-09 09:20:00,1.05751,1,Short,Closed,267,0.0004275999390672529
72,2022-12-12 02:05:00,1.05224,0,Long,Closed,406,0.0002769446559625039
73,2022-12-12 04:55:00,1.05145,1,Short,Closed,194,0.0003588372848908704
74,2022-12-12 07:30:00,1.05114,1,Long,Closed,186,0.00026063027122108685
75,2022-12-12 08:20:00,1.05169,0,Short,Closed,241,0.00028560126584254336
76,2022-12-19 02:50:00,1.05968,0,Short,Closed,280,0.0003608324376644769
77,2022-12-19 07:45:00,1.06057,1,Long,Closed,125,0.00027917652008227354
78,2022-12-19 09:05:00,1.06275,1,Short,Closed,335,0.00041239964677935553
79,2022-12-19 10:10:00,1.06339,1,Long,Closed,366,0.0004949496330359064
80,2022-12-19 10:35:00,1.06414,1,Short,Closed,243,0.0005430848085968647
81,2022-12-20 01:20:00,1.06066,1,Short,Closed,217,0.00018475859309595848
82,2022-12-20 03:00:00,1.06,1,Long,Closed,211,0.00029444034375034924
83,2022-12-20 05:25:00,1.06116,1,Short,Closed,970,0.0010150834734849001
84,2022-12-20 07:50:00,1.05827,1,Long,Closed,315,0.0006742028804132167
85,2022-12-20 08:40:00,1.05963,0,Short,Closed,711,0.000625882382720379
86,2022-12-21 01:25:00,1.06261,1,Short,Closed,239,0.00028618398451110027
87,2022-12-21 02:45:00,1.06236,1,Long,Closed,160,0.00021691993570266066
88,2022-12-21 04:35:00,1.06162,1,Short,Closed,171,0.00033887334588631076
89,2022-12-21 05:00:00,1.06138,1,Long,Closed,213,0.0003264972392718885
90,2022-12-21 08:10:00,1.06124,0,Short,Closed,304,0.0002572118588841703
91,2022-12-22 00:15:00,1.06065,1,Long,Closed,486,0.0002623231203158357
92,2022-12-22 01:40:00,1.06114,0,Short,Closed,68,0.00020214845854383686
93,2022-12-22 08:10:00,1.06441,1,Long,Closed,297,0.00032259040092864585
94,2022-12-22 08:35:00,1.0649,1,Short,Closed,230,0.00030690727400042574
95,2022-12-22 09:25:00,1.06391,1,Long,Closed,213,0.000345883032091851
96,2022-12-22 10:35:00,1.06451,1,Short,Closed,346,0.0005536298074994061
97,2022-12-22 10:55:00,1.06324,1,Long,Closed,301,0.000629778762286301
98,2022-12-23 00:55:00,1.05965,1,Short,Closed,35,0.0002236691453563058
99,2022-12-23 03:00:00,1.05891,1,Long,Closed,464,0.00027478742592952464
100,2022-12-23 04:00:00,1.06019,0,Short,Closed,236,0.00033037337787628236
101,2022-12-23 07:05:00,1.06053,1,Long,Closed,90,0.00020622683438923785
102,2022-12-23 07:55:00,1.06072,0,Short,Closed,183,0.0002120881355614382
103,2022-12-23 10:45:00,1.0606,1,Long,Closed,177,0.0004651240022781616
104,2022-12-27 01:10:00,1.06359,0,Short,Closed,178,0.00027556830747975386
105,2022-12-27 05:30:00,1.06396,1,Long,Closed,198,0.0003455124810419333
106,2022-12-27 08:20:00,1.06545,0,Short,Closed,221,0.0002847592526951259
107,2022-12-27 10:20:00,1.06484,1,Long,Closed,403,0.0004811688143380581
108,2022-12-28 00:05:00,1.06357,0,Long,Closed,7,0.0002318952716114442
109,2022-12-28 03:45:00,1.06379,0,Short,Closed,267,0.00032724102269109274
110,2022-12-28 09:15:00,1.06473,1,Long,Closed,320,0.0002922129313813014
111,2022-12-28 09:30:00,1.06526,1,Short,Closed,323,0.00032631990169267494
112,2022-12-28 10:05:00,1.0643,1,Long,Closed,350,0.00037742037679349593
113,2022-12-29 00:10:00,1.06074,1,Long,Closed,5,0.0002412065164891706
